Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Winnisquam.Laconia,"Winnisquam, Lake",Laconia,,Anabaena,"58,459",9/19/2010,11/1/2010,43,NHLAK700020201-05-01,Warning
Pawtuckaway.Nottingham,Pawtuckaway Lake,Nottingham,,Anabaena,">70,000",5/27/2011,5/28/2011,1,NHLAK600030704-02-01,Warning
Jenness.Northwood,Jenness Pond,Northwood,,Microcystis,"280,000",6/6/2011,6/13/2011,7,NHLAK700060502-06,Warning
Goose.Canaan,Goose Pond,"Canaan, Hanover",,Anabaena,">70,000",6/7/2011,6/16/2011,9,NHLAK801060103-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"11,000,000",6/15/2011,6/23/2011,8,NHLAK700061001-02-01,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Anabaena,"129,000",6/20/2011,6/27/2011,7,NHIMP700030503-01-01,Warning
Winni.Meredith,"Winnipesaukee, Lake","Meredith, Laconia",,Anabaena,"509,200",6/28/2011,7/1/2011,3,NHLAK700020110-02-19-5,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Anabaena,">70,000",7/12/2011,7/13/2011,1,NHLAK700061403-07,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"1,000,000",7/26/2011,8/5/2011,10,NHLAK700061001-02-01,Warning
Forest.Winchester,Forest Lake,Winchester,,Oscillatoria,">70,000",7/28/2011,10/5/2011,69,NHLAK802010401-01-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,">70,000",8/1/2011,8/17/2011,16,NHLAK700061205-02-01,Warning
Halfmoon.Alton,Halfmoon Lake,"Alton, Barnstead",,Oscillatoria,"859,833",8/10/2011,8/19/2011,9,NHLAK700060402-03,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Microcystis,"467,000",8/11/2011,9/9/2011,29,NHLAK700060804-02,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"1,826,597",8/13/2011,8/24/2011,11,NHLAK700061001-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"474,092",8/30/2011,9/2/2011,3,NHLAK700061001-02-01,Warning
Sawyer.Gilmanton,Sawyer Lake,Gilmanton,,Anabaena,"266,118",5/29/2012,6/7/2012,9,NHLAK700020202-05,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"1,854,000",6/21/2012,7/4/2012,13,NHLAK700061001-02-01,Warning
Forest.Winchester,Forest Lake,Winchester,,Oscillatoria,"158,162",7/17/2012,7/27/2012,10,NHLAK802010401-01-01,Warning
New.Canterbury,New Pond,Canterbury,,unidentified,NA,7/19/2012,7/26/2012,7,NHLAK700060201-03,Warning
French.Henniker,French Pond,Henniker,,Anabaena,"192,000",7/31/2012,8/15/2012,15,NHLAK700030504-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,">70,000",7/31/2012,8/2/2012,2,NHLAK700061001-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Microcystis,"1,000,000",8/9/2012,8/21/2012,12,NHLAK700061001-02-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,">70,000",8/21/2012,9/4/2012,14,NHLAK700061205-02-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,">70,000",8/22/2012,8/29/2012,7,NHLAK700061001-02-01,Warning
Showell.Sandown,Showell Pond,Sandown,,Coelosphaerium,"416,517",8/29/2012,10/20/2012,52,NHLAK600030802-04,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,"342,296",9/5/2012,10/18/2012,43,NHLAK700061205-02-01,Warning
WhitePark.Concord,White Park Pond,Concord,,Anabaena,">70,000",5/28/2013,5/31/2013,3,NHLAK700060302-20,Warning
Beaver.Derry,Beaver Lake,Derry,,Anabaena,"1,598,000",5/31/2013,6/5/2013,5,NHLAK700061203-02-01,Warning
Province.Effingham,Province Lake,Effingham/Wakefield,,Anabaena,">70,000",6/20/2013,6/28/2013,8,NHLAK600020902-01,Warning
Province.Effingham,Province Lake,Effingham/Wakefield,,Anabaena,">70,000",7/11/2013,7/19/2013,8,NHLAK600020902-01,Warning
Horseshoe.Merrimack,Horseshoe Pond,Merrimack,,Multiple,"980,000",7/17/2013,8/2/2013,16,NHLAK700061002-03,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Microcystis,"457,682",8/7/2013,8/9/2013,2,NHIMP700030503-01-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,"260,000",8/18/2013,9/4/2013,17,NHLAK700061001-02-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,Spirulina,"146,873",8/19/2013,8/28/2013,9,NHLAK700060101-02-01,Warning
Northwood.Northwood,Northwood Lake,Northwood,,Anabaena,"450,978",8/28/2013,8/30/2013,2,NHLAK700060502-08-01,Warning
Mascoma.Enfield,Mascoma Lake,Enfield/Lebanon,,Microcystis,"1,300,000",8/30/2013,9/3/2013,4,NHLAK801060105-04-01,Warning
Webster.Franklin,Webster Lake,Franklin,,Anabaena,"142,000",6/30/2014,7/7/2014,7,NHLAK700010804-02-01,Warning
Forest.Winchester,Forest Lake,Winchester,,Oscillatoria,"101,572",7/1/2014,7/3/2014,2,NHLAK802010401-01-01,Warning
Silver.Hollis,Silver Lake,Hollis,,Anabaena,">70,000",7/12/2014,7/15/2014,3,NHLAK700061001-02-01,Warning
